"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.957801613E0,6.469552530E1,2.452328481E1,7.272141246E0,6.899999976E-1,1.445000000E2,7.500000000E0,1.700000000E1
2.816826266E0,6.469549919E1,2.452337416E1,1.927214488E1,6.899999976E-1,1.400000000E2,7.000000000E0,1.400000000E1
3.823214955E0,6.469551608E1,2.452332613E1,8.272143547E0,8.199999928E-1,1.465000000E2,7.000000000E0,1.300000000E1
4.816932862E0,6.469553833E1,2.452335136E1,9.272151020E0,4.099999964E-1,1.336000061E2,7.000000000E0,1.300000000E1
7.125502612E0,6.469553925E1,2.452336527E1,1.027215267E1,3.999999911E-2,0.000000000E0,6.000000000E0,1.100000000E1
7.817013606E0,6.469553296E1,2.452333912E1,1.127214858E1,4.999999702E-2,0.000000000E0,3.500000000E0,5.000000000E0
8.816994684E0,6.469553950E1,2.452330685E1,1.027214663E1,1.700000018E-1,4.370000076E1,3.000000000E0,4.000000000E0
9.816994684E0,6.469553971E1,2.452330811E1,1.027214681E1,0.000000000E0,NaN,3.000000000E0,4.000000000E0
1.081699456E1,6.469553971E1,2.452330811E1,1.027214681E1,0.000000000E0,NaN,3.000000000E0,4.000000000E0
1.181699450E1,6.469553971E1,2.452330811E1,1.027214681E1,0.000000000E0,NaN,2.500000000E0,4.000000000E0
1.281699438E1,6.469553971E1,2.452330811E1,1.027214681E1,0.000000000E0,NaN,2.500000000E0,4.000000000E0
1.381699427E1,6.469553971E1,2.452330811E1,1.027214681E1,0.000000000E0,NaN,2.500000000E0,4.000000000E0
1.522164686E1,6.469573540E1,2.452414870E1,1.007227831E1,NaN,NaN,3.275799942E1,3.598054171E0
1.892001071E1,6.469178122E1,2.453136060E1,8.272143121E0,1.509999990E0,1.249000015E2,3.500000000E0,6.000000000E0
1.992001142E1,6.469177825E1,2.453134770E1,8.272141149E0,1.439999938E0,1.249000015E2,3.500000000E0,5.000000000E0
2.092001229E1,6.469175889E1,2.453134459E1,7.272136492E0,1.549999952E0,1.881000061E2,2.500000000E0,4.000000000E0
