"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.366573300E-2,-3.065347672E-2,1.224679947E-1,2.895498276E-2,1.295238835E-1
2.166698300E-2,-5.454087257E-2,1.215391159E-1,4.326534271E-1,4.526979694E-1
2.966792000E-2,-1.139991283E-1,1.137142181E-1,5.760667324E-1,5.981468088E-1
3.767042000E-2,-4.520440102E-2,1.200008392E-1,6.314752102E-1,6.443637019E-1
4.567292000E-2,6.928110123E-2,1.368007660E-1,6.168320179E-1,6.356068430E-1
5.367448300E-2,1.328747272E-1,9.225082397E-2,6.619961262E-1,6.814725077E-1
6.167596700E-2,1.152656078E-1,1.574993134E-2,6.279523373E-1,6.386378931E-1
6.967721700E-2,1.110947132E-1,-5.393791199E-2,4.991488457E-1,5.141992841E-1
7.767897500E-2,1.598238945E-2,-4.066562653E-2,3.417325020E-1,3.445144886E-1
8.568163100E-2,-1.304550171E-1,3.089904785E-4,1.999654770E-1,2.387567778E-1
9.368233400E-2,-1.422622204E-1,6.154918671E-2,1.331605911E-1,2.043491736E-1
1.016841700E-1,3.887152672E-2,1.908540726E-1,3.681564331E-1,4.165038197E-1
1.096829590E-1,2.409167290E-1,3.283891678E-1,3.169360161E-1,5.160704934E-1
1.176810840E-1,2.859741449E-1,2.407741547E-1,2.978429794E-1,4.779789174E-1
1.256829200E-1,2.778168917E-1,1.988410950E-2,1.978139877E-1,3.416254921E-1
1.336853810E-1,2.706810236E-1,-1.408061981E-1,1.709036827E-1,3.497179874E-1
1.416878810E-1,2.141491175E-1,-1.836700439E-1,2.899522781E-1,4.045576018E-1
1.496903030E-1,5.078434944E-2,-2.519502640E-1,5.406892300E-1,5.986675447E-1
1.576904990E-1,-7.877397537E-2,-2.806301117E-1,9.818170071E-1,1.024169534E0
1.656919830E-1,-3.067564964E-2,-1.803865433E-1,1.313075304E0,1.325762820E0
1.736967880E-1,2.326172590E-1,1.859092712E-1,1.745960951E0,1.771172687E0
1.816990530E-1,4.074819088E-1,4.260578156E-1,1.771335363E0,1.866867895E0
1.897012800E-1,6.688218117E-1,3.403959274E-1,1.327675343E0,1.525094692E0
