"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","SM-S921B"
"deviceBrand","samsung"
"deviceBoard","s5e9945"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/e1sxeea/e1s:14/UP1A.231005.007/S921BXXU1AXCB:user/release-keys"
"deviceCodename","REL"
"deviceRelease","14"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","LSM6DSVTR Accelerometer"
"accelerometer Vendor","STM"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0047884034"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","160000"
"accelerometer Power","0.15"
"accelerometer Version","15933"
"linear_acceleration Name","Linear Acceleration Sensor"
"linear_acceleration Vendor","Samsung Electronics"
"linear_acceleration Range","156.9064"
"linear_acceleration Resolution","0.0047884034"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","1.1"
"linear_acceleration Version","3"
"gravity Name","Gravity Sensor"
"gravity Vendor","Samsung Electronics"
"gravity Range","19.6133"
"gravity Resolution","5.9604645E-8"
"gravity MinDelay","10000"
"gravity MaxDelay","0"
"gravity Power","1.1"
"gravity Version","3"
"gyroscope Name","LSM6DSVTR Gyroscope"
"gyroscope Vendor","STM"
"gyroscope Range","34.906063"
"gyroscope Resolution","0.0012217305"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","160000"
"gyroscope Power","0.65"
"gyroscope Version","1"
"magnetic_field Name","AK09918C Magnetometer"
"magnetic_field Vendor","Asahi Kasei Microdevices"
"magnetic_field Range","4900.02"
"magnetic_field Resolution","0.06"
"magnetic_field MinDelay","8000"
"magnetic_field MaxDelay","320000"
"magnetic_field Power","1.1"
"magnetic_field Version","2"
"pressure Name","LPS22DFTR Barometer"
"pressure Vendor","STM"
"pressure Range","1260.0"
"pressure Resolution","2.4414062E-4"
"pressure MinDelay","80000"
"pressure MaxDelay","1280000"
"pressure Power","0.012"
"pressure Version","1"
"light Name","STK33F11 Light"
"light Vendor","Sitronix"
"light Range","60000.0"
"light Resolution","1.0"
"light MinDelay","200000"
"light MaxDelay","200000"
"light Power","0.75"
"light Version","3002"
"proximity Name","Palm Proximity Sensor version 2"
"proximity Vendor","Samsung"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.75"
"proximity Version","1000"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Samsung Rotation Vector"
"attitude Vendor","Samsung Inc."
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","160000"
"attitude Power","1.1"
"attitude Version","1"
