"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.418616000E-2,7.105259895E-1,-2.992386818E-1,-2.175836563E0,2.308388122E0
2.218307400E-2,7.558202744E-1,-2.695790529E-1,-1.577817917E0,1.770154381E0
3.018311300E-2,9.272972345E-1,-3.627096415E-1,-9.758186340E-1,1.394152234E0
3.818358200E-2,1.060624242E0,-4.833344221E-1,-4.297122955E-1,1.242251425E0
4.618444100E-2,1.017446756E0,-5.441532135E-1,-1.556835175E-1,1.164275732E0
5.418842500E-2,9.270936251E-1,-5.694407821E-1,4.679679871E-3,1.088019896E0
6.218893300E-2,9.293794632E-1,-5.767302513E-1,-1.837825775E-2,1.093938632E0
7.019018300E-2,1.043405771E0,-5.482518673E-1,-1.483755112E-1,1.187977696E0
7.819112100E-2,1.060876846E0,-5.021207333E-1,-3.743181229E-1,1.231949257E0
8.619147200E-2,9.837505221E-1,-4.197828174E-1,-6.534204483E-1,1.253371847E0
9.419170700E-2,7.765070796E-1,-3.172864914E-1,-8.127546310E-1,1.167991461E0
1.021904570E-1,5.362212658E-1,-2.360826433E-1,-9.140491486E-1,1.085704429E0
1.101903390E-1,3.631445169E-1,-2.259826958E-1,-1.026169777E0,1.111740316E0
1.181899490E-1,2.496591806E-1,-2.459578216E-1,-1.135065079E0,1.187938420E0
1.261902610E-1,2.345476151E-1,-2.499252409E-1,-1.142956734E0,1.193241512E0
1.341894020E-1,2.903248072E-1,-1.958399862E-1,-1.113595963E0,1.167363594E0
1.421910430E-1,3.700915575E-1,-1.415520310E-1,-1.049371719E0,1.121688791E0
1.501930740E-1,4.383326769E-1,-7.354703546E-2,-9.562015533E-1,1.054450621E0
1.581957300E-1,4.684566855E-1,-6.532898545E-2,-9.073467255E-1,1.023229018E0
1.661946750E-1,4.077538848E-1,-1.344780326E-1,-8.282928467E-1,9.329612059E-1
1.741925270E-1,3.183292150E-1,-2.170526683E-1,-7.908182144E-1,8.796810776E-1
1.821922540E-1,3.044464588E-1,-2.537893653E-1,-8.487787247E-1,9.367614486E-1
1.901913940E-1,2.565351725E-1,-3.009664118E-1,-8.672752380E-1,9.531827811E-1
1.981921750E-1,1.892644763E-1,-3.323220611E-1,-8.471603394E-1,9.294835312E-1
2.061903390E-1,1.229575872E-1,-4.347796738E-1,-8.335971832E-1,9.481751932E-1
2.141882690E-1,5.842792988E-2,-4.995287955E-1,-8.572120667E-1,9.938588269E-1
2.221851440E-1,-3.318034410E-1,-7.828875184E-1,-8.349437714E-1,1.191695217E0
2.301832300E-1,-5.650472641E-2,-8.882813454E-1,-1.105555534E0,1.419327155E0
2.381828000E-1,2.112631798E-1,-9.366416931E-1,-1.502481461E0,1.783081695E0
