"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,6.506246010E1,2.547343990E1,1.741487981E1,3.489999771E1,NaN,NaN,1.776640908E-3,4.335400009E1,3.555347204E0,0.000000000E0
2.249246772E1,6.506247340E1,2.547346090E1,1.741487718E1,3.489999771E1,NaN,NaN,4.731278403E-2,2.722200012E1,1.265742660E0,0.000000000E0
3.723415732E1,6.506288270E1,2.547349281E1,2.951472894E1,4.700000000E1,0.000000000E0,0.000000000E0,5.173166220E-2,1.250000000E1,1.000000000E2,7.000000000E0
3.820456594E1,6.506289301E1,2.547340178E1,2.851471472E1,4.600000000E1,2.999999933E-2,0.000000000E0,5.300346235E-2,1.100000000E1,1.000000000E2,8.000000000E0
3.919005016E1,6.506289942E1,2.547337932E1,2.651470975E1,4.400000000E1,2.999999933E-2,0.000000000E0,5.439448276E-2,9.500000000E0,1.000000000E2,8.000000000E0
4.017464516E1,6.506291010E1,2.547339474E1,2.551470748E1,4.300000000E1,0.000000000E0,0.000000000E0,5.439448276E-2,8.500000000E0,1.000000000E2,8.000000000E0
4.120934455E1,6.506291010E1,2.547339474E1,2.551470748E1,4.300000000E1,0.000000000E0,0.000000000E0,5.439448276E-2,8.500000000E0,1.000000000E2,8.000000000E0
4.218551601E1,6.506291010E1,2.547339474E1,2.551470748E1,4.300000000E1,0.000000000E0,0.000000000E0,5.439448276E-2,8.500000000E0,1.000000000E2,8.000000000E0
4.322119639E1,6.506291010E1,2.547339474E1,2.551470748E1,4.300000000E1,0.000000000E0,0.000000000E0,5.439448276E-2,1.000000000E1,1.000000000E2,1.300000000E1
4.420113105E1,6.506291010E1,2.547339474E1,2.551470748E1,4.300000000E1,0.000000000E0,0.000000000E0,5.439448276E-2,7.500000000E0,1.000000000E2,1.300000000E1
4.519278297E1,6.506291010E1,2.547339474E1,2.551470748E1,4.300000000E1,0.000000000E0,0.000000000E0,5.439448276E-2,6.500000000E0,1.000000000E2,1.300000000E1
